innings,over,Bowlername,Batsmanname,runs,wicket,description,nh/h,wickettype,wickethelper,extras,ballspeed(kph)
1,22.4,OC McCoy,V Kohli,2,false,slower ball  full outside off  and Kohli mistimes a drive right over mid off. It won't go to the boundary and Holder's running towards the ropes to take the catch  but he drops it! McCoy could've had Kohli as his first international wicket  but alas,non-home run,no wicket,no wicket,no extra,108.908
1,22.5,OC McCoy,V Kohli,1,false,,non-home run,no wicket,no wicket,wide,111.479
1,22.5,OC McCoy,V Kohli,1,false,full outside off  and pushed to cover off the front foot,non-home run,no wicket,no wicket,no extra,135.941
1,22.6,OC McCoy,AT Rayudu,0,false,length ball angling across the batsman  and cut from near his body to point. Can't pierce the gap,non-home run,no wicket,no wicket,no extra,129.617
1,23.1,D Bishoo,V Kohli,1,false,good length outside off  and cut with the spin past the diving fielder at point. They jog across for a single,non-home run,no wicket,no wicket,no extra,84.238
1,23.2,D Bishoo,AT Rayudu,0,false,fuller outside off  and carved off the back foot to point. Can't find the gap on this occasion,non-home run,no wicket,no wicket,no extra,85.123
1,23.3,D Bishoo,AT Rayudu,0,false,length ball outside off  and cut off the back foot to point once more,non-home run,no wicket,no wicket,no extra,88.470
1,23.4,D Bishoo,AT Rayudu,0,false,full on leg  and skidding through. Rayudu stays on the front foot  and jabs a defensive shot towards the leg side,non-home run,no wicket,no wicket,no extra,83.417
1,23.5,D Bishoo,AT Rayudu,1,false,full on middle  and skidding through again. Punched to cover off the front foot for a quick run,non-home run,no wicket,no wicket,no extra,
1,23.6,D Bishoo,V Kohli,0,false,full just outside off  and driven with the turn. Past the bowler's left down the ground to long off,non-home run,no wicket,no wicket,no extra,79.812
1,24.1,OC McCoy,AT Rayudu,0,false,full on middle  and Rayudu allows the ball to come to him before guiding it towards point with the bat's open face,non-home run,no wicket,no wicket,no extra,137.562
1,24.2,OC McCoy,AT Rayudu,1,false,back of a length on leg stump  but slower from McCoy. Rayudu's through his pull shot too early  and he mistimes it over midwicket for one,non-home run,no wicket,no wicket,no extra,
1,24.3,OC McCoy,V Kohli,1,false,slower ball again  length ball outside off  and dabbed off the back foot to third man for a single. McCoy lost his towel during the run-up  but Kohli wasn't distracted,non-home run,no wicket,no wicket,no extra,127.618
1,24.4,OC McCoy,AT Rayudu,1,false,just short of midwicket! Short again  and the ball doesn't have the pace for the pull shot. Mistimes a muscled leg-side shot that hits the top-half of his bat  but it lands just before Ashley Nurse can get under it,non-home run,no wicket,no wicket,no extra,136.086
1,24.5,OC McCoy,V Kohli,0,false,full and wide outside off stump. Angling further across and Kohli tries to drive away from his body. Misses  and Shai Hope appeals for caught behind  but Kohli just lets out a wry smile,non-home run,no wicket,no wicket,no extra,134.266
1,24.6,OC McCoy,V Kohli,1,false,slower ball  full outside off  and driven past the non-striker to mid off for a quick single. His 49th ODI fifty, as easy as that,non-home run,no wicket,no wicket,no extra,129.057
1,25.1,JO Holder,V Kohli,0,false,length ball outside off stump. Pushed with the angled bat to cover point  but can't take the single,non-home run,no wicket,no wicket,no extra,
1,25.2,JO Holder,V Kohli,1,false,back of a length on off stump  and angling into Kohli. Worked off his pads to short fine leg,non-home run,no wicket,no wicket,no extra,
1,25.3,JO Holder,AT Rayudu,1,false,length ball wide outside off  and Rayudu keeps supple hands as he loosely steers a late shot to third man for one,non-home run,no wicket,no wicket,no extra,122.197
1,25.4,JO Holder,V Kohli,1,false,length ball outside off  and tapped away to cover point. They scamper across for one,non-home run,no wicket,no wicket,no extra,124.414
1,25.5,JO Holder,AT Rayudu,4,false,slapped! Length ball outside off  and Rayudu stands tall  before flat-batting a beautiful shot past the cover fielder. Mid off's chase is futile,home run,no wicket,no wicket,no extra,124.560
1,25.6,JO Holder,AT Rayudu,1,false,attempted yorker right on off stump. Wedged away to mid off for a quick single. Direct hit from the fielder  but Rayudu thinks he's alright,non-home run,no wicket,no wicket,no extra,128.149
1,26.1,OC McCoy,AT Rayudu,1,false,back of a length outside leg stump  and worked off his hips to deep backward square for a walking single,non-home run,no wicket,no wicket,no extra,133.090
1,26.2,OC McCoy,V Kohli,1,false,full on middle  and he shuffles across to the off side  before whipping a flick to deep midwicket,non-home run,no wicket,no wicket,no extra,136.963
